,file,id_a,id_b,count_a,count_b
1106,416_4_187_10_6_S399,4,187,141,0
1107,114_2_156_5_3_S110,2,156,0,2549
1108,591_4_200_8_6_S566,4,200,12934,0
1109,835_2_184_3_2_S802,2,184,0,2
1110,853_186_156_5_1_S820,186,156,0,18
1111,232_131_156_3_3_S224,131,156,0,0
1112,324_186_184_2_5_S312,186,184,80,2536
1113,704_2_184_6_1_S675,2,184,0,6325
1114,535_156_200_5_9_S514,156,200,0,0
1115,458_186_184_9_7_S441,186,184,0,10
1116,1022_2_186_6_2_S980,2,186,0,14
1117,1104_2_187_6_6_S1055,2,187,0,4
1118,987_187_156_7_4_S945,187,156,1,7
1119,588_4_200_8_3_S563,4,200,1075,0
1120,456_2_184_9_5_S439,2,184,0,5
1121,614_131_187_6_3_S589,131,187,14576,0
1122,801_156_184_9_5_S768,156,184,1,0
1123,771_186_187_9_3_S738,186,187,0,0
1124,1115_186_4_5_9_S1066,186,4,1,20591
