Nodules	Area	Mean	Min	Max
131+156_7.xls:14	0.022	63.925	35	114
131+156_7.xls:15	0.008	70.284	53	104
131+156_7.xls:16	0.027	53.195	22	116
131+156_7.xls:17	0.016	80.182	64	117
131+156_7.xls:18	0.015	76.047	44	129
131+156_7.xls:19	0.026	56.596	27	125
131+156_7.xls:20	0.01	64.022	43	111
131+156_7.xls:21	0.014	65.331	47	116
131+156_7.xls:22	0.011	63.819	35	126
131+156_7.xls:23	0.005	74.896	48	124
131+156_7.xls:24	0.01	59.078	33	115
131+156_7.xls:25	0.006	101.214	82	125
131+156_7.xls:26	0.009	91.75	68	121
131+156_8.xls:1	0.009	105.102	86	132
131+156_8.xls:2	0.017	79.547	59	121
131+156_8.xls:3	0.012	81.579	70	103
131+156_8.xls:4	0.007	90.524	74	114
131+156_8.xls:5	0.012	74.551	59	108
131+156_8.xls:6	0.01	86.311	68	106
131+156_8.xls:7	0.004	91.975	72	114
131+156_8.xls:8	0.064	47.224	25	117
131+156_8.xls:9	0.012	87.538	72	113
131+156_8.xls:10	0.01	74.082	54	114
131+156_8.xls:11	0.044	57.95	36	101
131+156_8.xls:12	0.01	82.1	68	108
131+156_8.xls:13	0.007	82.165	69	105
131+156_8.xls:14	0.014	75.824	63	99
131+156_8.xls:15	0.024	72.258	46	112
131+156_8.xls:16	0.021	76.39	53	120
131+156_8.xls:17	0.028	80.751	59	115
131+156_8.xls:18	0.017	80.318	62	109
131+156_8.xls:19	0.023	62.744	47	106
131+156_8.xls:20	0.016	71.003	50	107
131+156_8.xls:21	0.018	73.87	50	112
131+156_8.xls:22	0.019	72.857	58	98
131+156_8.xls:23	0.019	82.958	66	119
131+156_8.xls:24	0.018	77.883	58	121
131+156_8.xls:25	0.01	97.13	76	123
131+156_8.xls:26	0.013	71.409	53	103
131+156_8.xls:27	0.053	45.217	23	98
131+156_8.xls:28	0.018	61.762	44	97
131+156_8.xls:29	0.016	69.112	52	105
131+156_8.xls:30	0.016	77.358	61	108
131+156_8.xls:31	0.011	78.467	62	104
131+156_8.xls:32	0.012	64.565	41	90
131+156_8.xls:33	0.015	80.631	52	120
131+156_8.xls:34	0.017	76.037	62	101
131+156_8.xls:35	0.046	48.132	24	104
131+156_8.xls:36	0.011	59.713	36	98
131+156_8.xls:37	0.016	56.528	37	99
131+156_8.xls:38	0.021	53.567	30	105
131+156_8.xls:39	0.012	76.298	52	105
131+156_8.xls:40	0.006	88.5	68	125
131+156_8.xls:41	0.007	97.599	79	120
131+156_8.xls:42	0.009	80.517	63	111
131+156_8.xls:43	0.008	78.5	65	98
131+156_8.xls:44	0.014	58.922	30	111
131+156_8.xls:45	0.018	61.375	37	113
131+156_8.xls:46	0.016	63.724	37	116
131+156_8.xls:47	0.021	63.746	32	114
131+156_8.xls:48	0.015	58.924	38	120
131+156_8.xls:49	0.021	67.616	43	166
131+156_8.xls:50	0.009	65.227	50	91
131+156_9.xls:1	0.015	66.711	41	111
131+156_9.xls:2	0.018	65.951	38	107
131+156_9.xls:3	0.014	68.61	43	108
131+156_9.xls:4	0.033	60.472	29	106
131+156_9.xls:5	0.004	78.012	63	101
131+156_9.xls:6	0.006	78.759	65	106
131+156_9.xls:7	0.004	77.256	69	92
131+156_9.xls:8	0.015	55.158	35	100
131+156_9.xls:9	0.011	54.161	34	105
131+156_9.xls:10	0.024	46.755	35	108
131+156_9.xls:11	0.01	65.307	42	105
131+156_9.xls:12	0.006	66.759	55	100
131+156_9.xls:13	0.006	63.095	49	85
131+156_9.xls:14	0.006	64.856	46	103
131+156_9.xls:15	0.013	64.172	44	97
131+156_9.xls:16	0.006	68.695	55	87
131+156_9.xls:17	0.006	79.985	56	116
131+156_9.xls:18	0.006	65.457	51	101
131+184_10.xls:1	0.024	55.787	35	118
131+184_10.xls:2	0.044	60.465	23	126
131+184_10.xls:3	0.014	86.066	66	119
131+184_10.xls:4	0.013	69.102	29	119
131+184_10.xls:5	0.01	71.026	51	113
131+184_10.xls:6	0.016	72.875	51	107
131+184_10.xls:7	0.015	68.939	48	111
131+184_10.xls:8	0.011	79.326	51	117
131+184_4.xls:1	0.008	105.793	78	130
131+184_4.xls:2	0.004	78.095	52	107
131+184_4.xls:3	0.007	101.438	78	121
131+184_5.xls:1	0.05	70.131	42	136
131+184_5.xls:2	0.051	74.314	42	128
131+184_5.xls:3	0.044	70.52	35	138
131+184_5.xls:4	0.15	59.071	17	129
131+184_5.xls:5	0.03	94.104	59	139
131+184_6.xls:1	0.013	61.835	35	104
131+184_6.xls:2	0.017	57.214	33	96
131+184_6.xls:3	0.01	58.735	39	106
131+184_6.xls:4	0.008	63.231	31	107
131+184_6.xls:5	0.004	68.98	45	112
131+184_6.xls:6	0.009	65.593	38	117
131+184_6.xls:7	0.004	91.618	69	116
131+184_6.xls:8	0.007	94.86	73	137
131+184_6.xls:9	0.01	77.437	63	103
131+184_6.xls:10	0.027	73.099	16	108
131+184_6.xls:11	0.023	73.836	53	105
131+184_6.xls:12	0.021	73.239	37	115
131+184_7.xls:1	0.029	79.045	63	109
131+184_7.xls:2	0.037	72.211	45	134
131+184_7.xls:3	0.013	90.626	64	130
131+184_7.xls:4	0.026	73.598	41	136
131+184_7.xls:5	0.059	55.143	29	117
131+184_7.xls:6	0.039	64.653	37	136
131+184_7.xls:7	0.039	65.429	37	117
131+184_7.xls:8	0.041	71.016	38	122
131+184_7.xls:9	0.009	82.349	60	117
131+184_7.xls:10	0.016	84.322	64	123
131+184_8.xls:1	0.029	79.972	46	112
131+184_8.xls:2	0.022	95.177	83	125
131+184_8.xls:3	0.009	89.545	64	138
131+184_8.xls:4	0.026	76.81	49	143
131+184_8.xls:5	0.021	83.918	52	156
131+184_8.xls:6	0.016	90.288	65	152
131+184_8.xls:7	0.024	85.088	51	159
131+184_8.xls:8	0.013	89.727	66	153
131+184_9.xls:1	0.023	92.073	69	133
131+184_9.xls:2	0.063	107.03	69	145
131+184_9.xls:3	0.05	94.596	63	138
131+184_9.xls:4	0.03	100.429	76	136
131+184_9.xls:5	0.04	115.488	77	145
131+187_1.xls:1	0.009	110.724	98	141
131+187_1.xls:2	0.012	79.127	60	121
131+187_1.xls:3	0.003	115.661	100	141
131+187_1.xls:4	0.01	101.762	80	134
131+187_1.xls:5	0.018	87.128	56	132
131+187_1.xls:6	0.009	91.079	66	125
131+187_1.xls:7	0.013	81.682	58	129
131+187_1.xls:8	0.009	67.791	44	111
131+187_1.xls:9	0.013	90.123	63	150
131+187_1.xls:10	0.016	78.866	51	139
131+187_1.xls:11	0.007	83.405	34	145
131+187_1.xls:12	0.015	87.004	57	143
131+187_1.xls:13	0.024	61.083	38	123
131+187_1.xls:14	0.016	84.38	60	122
131+187_1.xls:15	0.052	63.804	33	134
131+187_1.xls:16	0.035	80.688	56	135
131+187_1.xls:17	0.042	100.801	82	127
131+187_1.xls:18	0.061	81.53	56	130
131+187_1.xls:19	0.033	81.688	57	130
131+187_1.xls:20	0.12	66.639	29	128
131+187_1.xls:21	0.014	97.85	77	135
131+187_1.xls:22	0.021	89.224	61	129
131+187_1.xls:23	0.033	61.657	38	129
131+187_1.xls:24	0.034	75.834	46	125
131+187_1.xls:25	0.08	80.024	59	113
131+187_1.xls:26	0.048	75.224	52	124
131+187_1.xls:27	0.032	83.042	64	113
131+187_1.xls:28	0.023	67.256	39	106
131+187_1.xls:29	0.008	95.54	79	120
131+187_1.xls:30	0.007	104.298	93	123
131+187_1.xls:31	0.06	58.866	31	126
131+187_1.xls:32	0.027	86.841	65	122
131+187_10.xls:1	0.018	49.769	35	81
131+187_10.xls:2	0.012	53.013	35	72
131+187_10.xls:3	0.009	56.687	43	80
131+187_10.xls:4	0.005	68.233	53	86
131+187_10.xls:5	0.01	53.79	37	92
131+187_10.xls:6	0.011	51.4	37	81
131+187_2.xls:1	0.015	84.956	64	127
131+187_2.xls:2	0.055	57.254	34	110
131+187_2.xls:3	0.032	58.594	31	123
131+187_2.xls:4	0.102	63.084	34	137
131+187_2.xls:5	0.006	107.459	82	130
131+187_2.xls:6	0.021	78.755	56	126
131+187_2.xls:7	0.006	105.456	87	133
131+187_2.xls:8	0.032	66.493	41	116
131+187_2.xls:9	0.03	71.222	49	115
131+187_2.xls:10	0.007	104.038	77	137
131+187_2.xls:11	0.007	105.987	84	135
131+187_2.xls:12	0.01	96.839	81	132
131+187_2.xls:13	0.011	82.066	63	108
131+187_2.xls:14	0.013	90.333	67	127
131+187_2.xls:15	0.101	83.405	57	135
131+187_2.xls:16	0.098	71.263	30	130
131+187_2.xls:17	0.01	106.685	83	129
131+187_2.xls:18	0.01	105.336	87	128
131+187_2.xls:19	0.009	106.696	82	135
131+187_2.xls:20	0.028	92.286	70	138
131+187_2.xls:21	0.029	86.395	56	136
131+187_2.xls:22	0.015	79.976	48	130
131+187_2.xls:23	0.015	79.62	48	133
131+187_2.xls:24	0.013	87.75	62	123
131+187_2.xls:25	0.015	65.529	36	116
131+187_2.xls:26	0.003	108.535	90	130
131+187_2.xls:27	0.014	57.933	31	119
131+187_2.xls:28	0.035	66.876	31	129
131+187_2.xls:29	0.032	51.109	25	122
131+187_2.xls:30	0.01	92.343	72	126
131+187_2.xls:31	0.012	62.823	25	130
131+187_2.xls:32	0.006	90.377	77	118
131+187_2.xls:33	0.015	101.705	84	123
131+187_2.xls:34	0.015	93.871	77	131
131+187_2.xls:35	0.02	83.358	59	124
131+187_2.xls:36	0.015	81.132	56	123
131+187_2.xls:37	0.025	65.106	41	110
131+187_2.xls:38	0.006	108.431	95	128
131+187_2.xls:39	0.006	92.654	76	112
131+187_2.xls:40	0.016	81.085	61	114
131+187_2.xls:41	0.014	99.425	80	119
131+187_2.xls:42	0.016	78.991	52	119
131+187_2.xls:43	0.009	94.258	76	117
131+187_2.xls:44	0.014	95.404	80	118
131+187_2.xls:45	0.009	89.198	69	119
131+187_2.xls:46	0.02	70.815	45	123
131+187_2.xls:47	0.015	79.382	60	118
131+187_2.xls:48	0.005	86.026	55	111
131+187_2.xls:49	0.012	88.378	63	116
131+187_3.xls:1	0.013	85.341	65	116
131+187_3.xls:2	0.016	87.193	59	120
131+187_3.xls:3	0.01	93.797	70	131
131+187_3.xls:4	0.023	75.953	51	125
131+187_3.xls:5	0.014	77.145	50	129
131+187_3.xls:6	0.012	96.01	65	142
131+187_3.xls:7	0.007	107.694	87	137
131+187_3.xls:8	0.027	96.807	68	143
131+187_3.xls:9	0.031	68.329	40	114
131+187_3.xls:10	0.02	84.761	71	112
131+187_3.xls:11	0.006	108.618	92	136
131+187_3.xls:12	0.034	77.375	35	124
131+187_3.xls:13	0.016	66.233	40	128
131+187_3.xls:14	0.011	102.051	84	129
131+187_3.xls:15	0.03	72	40	134
131+187_3.xls:16	0.015	103.765	78	147
131+187_3.xls:17	0.009	87.361	64	131
131+187_3.xls:18	0.014	76.168	48	125
131+187_3.xls:19	0.008	83	58	126
131+187_3.xls:20	0.012	73.944	36	116
131+187_3.xls:21	0.021	73.107	38	130
131+187_3.xls:22	0.009	99.013	85	119
131+187_3.xls:23	0.015	76.784	54	135
131+187_3.xls:24	0.004	126.213	113	144
131+187_3.xls:25	0.01	99.435	79	119
131+187_3.xls:26	0.011	94.227	80	129
131+187_3.xls:27	0.022	81.152	45	129
131+187_3.xls:28	0.03	87.464	57	134
131+187_3.xls:29	0.006	108.009	93	129
131+187_3.xls:30	0.016	80.774	46	131
131+187_3.xls:31	0.044	89.67	53	139
131+187_3.xls:32	0.031	69.02	39	129
131+187_3.xls:33	0.047	62.905	42	107
131+187_3.xls:34	0.018	79.816	62	126
131+187_3.xls:35	0.047	70.823	33	114
131+187_3.xls:36	0.063	64.876	33	118
131+187_3.xls:37	0.015	84.962	61	126
131+187_3.xls:38	0.059	65.317	28	113
131+187_3.xls:39	0.054	63.23	42	128
131+187_4.xls:1	0.037	79.948	55	113
131+187_4.xls:2	0.005	87.993	66	113
131+187_4.xls:3	0.013	100.942	80	124
131+187_4.xls:4	0.01	94.967	59	123
131+187_4.xls:5	0.021	81.24	49	126
131+187_4.xls:6	0.026	86.791	67	115
131+187_4.xls:7	0.045	82.989	66	114
131+187_4.xls:8	0.015	78.328	51	112
131+187_4.xls:9	0.025	80.838	57	125
131+187_4.xls:10	0.045	77.813	48	119
131+187_4.xls:11	0.027	85.655	56	126
131+187_4.xls:12	0.011	105.949	94	121
131+187_4.xls:13	0.008	117.67	101	135
131+187_4.xls:14	0.017	87.311	54	111
131+187_4.xls:15	0.021	74.28	46	120
131+187_4.xls:16	0.018	85.269	63	120
131+187_4.xls:17	0.014	96.394	75	118
131+187_4.xls:18	0.037	86.728	54	124
131+187_4.xls:19	0.022	98.903	72	128
131+187_4.xls:20	0.014	92.578	70	120
131+187_4.xls:21	0.017	87.693	59	121
131+187_4.xls:22	0.026	86.823	61	123
131+187_4.xls:23	0.012	94.065	72	125
131+187_4.xls:24	0.033	80.878	55	118
131+187_4.xls:25	0.013	108.405	88	127
131+187_4.xls:26	0.011	110.831	96	127
131+187_5.xls:1	0.009	97.855	86	112
131+187_5.xls:2	0.045	51.096	28	95
131+187_5.xls:3	0.015	83.029	64	121
131+187_5.xls:4	0.01	80.521	56	102
131+187_5.xls:5	0.017	68.573	48	113
131+187_5.xls:6	0.007	85.298	65	111
131+187_5.xls:7	0.01	79.721	58	109
131+187_5.xls:8	0.012	78.413	50	117
131+187_5.xls:9	0.017	62.348	37	125
131+187_5.xls:10	0.015	69.046	45	101
131+187_5.xls:11	0.011	81.147	63	119
131+187_5.xls:12	0.011	85.801	62	115
131+187_5.xls:13	0.012	71.273	55	102
131+187_5.xls:14	0.015	61.407	35	101
131+187_5.xls:15	0.018	70.29	46	106
131+187_5.xls:16	0.024	60.109	37	102
131+187_5.xls:17	0.016	84.155	65	118
131+187_5.xls:18	0.046	51.639	31	111
131+187_5.xls:19	0.103	44.056	23	100
131+187_5.xls:20	0.018	79.82	63	116
131+187_5.xls:21	0.027	63.13	37	107
131+187_5.xls:22	0.03	62.174	44	97
131+187_5.xls:23	0.007	93.471	83	108
131+187_5.xls:24	0.023	65.433	48	93
131+187_5.xls:25	0.13	51.312	29	129
131+187_5.xls:26	0.019	56.854	40	84
131+187_5.xls:27	0.016	78.777	62	105
131+187_5.xls:28	0.01	89.318	73	109
131+187_5.xls:29	0.014	75.172	52	115
131+187_5.xls:30	0.012	91.407	75	109
131+187_5.xls:31	0.004	101.138	92	113
131+187_6A.xls:1	0.021	53.682	30	88
131+187_6A.xls:2	0.012	97.287	80	116
131+187_6A.xls:3	0.01	105.687	89	124
131+187_6A.xls:4	0.005	114.238	105	123
131+187_6A.xls:5	0.013	107.368	93	123
131+187_6A.xls:6	0.016	95.499	69	120
131+187_6A.xls:7	0.021	85.993	57	121
131+187_6A.xls:8	0.014	92.073	71	114
131+187_6A.xls:9	0.013	61.402	42	91
131+187_6A.xls:10	0.012	107.971	92	127
131+187_6A.xls:11	0.013	89.921	59	120
131+187_6B.xls:1	0.021	81.948	65	120
131+187_6B.xls:2	0.014	91.477	64	124
131+187_6B.xls:3	0.012	93.556	74	116
131+187_6B.xls:4	0.016	77.24	49	115
131+187_6B.xls:5	0.011	84.501	54	128
131+187_7.xls:1	0.033	85.087	57	124
131+187_7.xls:2	0.025	89.146	59	121
131+187_7.xls:3	0.022	78.969	49	133
131+187_7.xls:4	0.026	84.401	47	135
131+187_7.xls:5	0.033	76.912	47	119
131+187_8.xls:1	0.028	69.853	49	102
131+187_8.xls:2	0.007	90.935	73	116
131+187_8.xls:3	0.006	104.029	88	122
131+187_8.xls:4	0.01	79.176	57	113
131+187_8.xls:5	0.003	108.958	90	130
131+187_8.xls:6	0.002	116.75	103	131
131+187_8.xls:7	0.013	94.727	79	120
131+187_8.xls:8	0.014	102.586	86	137
131+187_8.xls:9	0.011	78.062	54	114
131+187_8.xls:10	0.013	97.352	74	124
131+187_8.xls:11	0.017	69.385	49	115
131+187_8.xls:12	0.007	97.613	68	136
131+187_8.xls:13	0.017	70.833	45	123
131+187_8.xls:14	0.007	91.089	78	113
131+187_8.xls:15	0.018	91.36	67	135
131+187_8.xls:16	0.01	100.14	79	135
131+187_8.xls:17	0.004	102.133	80	119
131+187_8.xls:18	0.014	78.693	57	127
131+187_8.xls:19	0.009	86.854	65	122
131+187_8.xls:20	0.012	75.662	57	111
131+187_8.xls:21	0.003	98.682	64	124
131+187_8.xls:22	0.011	91.068	69	116
131+187_8.xls:23	0.026	84.055	57	150
131+187_8.xls:24	0.008	112.936	97	140
131+187_8.xls:25	0.058	62.994	39	108
131+187_8.xls:26	0.007	108.616	89	130
131+187_8.xls:27	0.005	101.244	90	124
131+187_8.xls:28	0.013	93.874	77	118
131+187_8.xls:29	0.015	99.111	81	132
131+187_8.xls:30	0.01	101.452	78	132
131+187_8.xls:31	0.01	109.849	93	131
131+187_8.xls:32	0.013	112.85	96	140
131+187_8.xls:33	0.006	111.795	103	125
131+187_8.xls:34	0.006	103.882	86	121
131+187_8.xls:35	0.007	114.348	92	135
131+187_9.xls:1	0.011	103.796	82	128
131+187_9.xls:2	0.018	79.981	62	115
131+187_9.xls:3	0.022	76.45	55	121
131+187_9.xls:4	0.007	103.792	84	139
131+187_9.xls:5	0.016	86.438	65	114
131+187_9.xls:6	0.028	85.985	66	140
131+187_9.xls:7	0.032	77.515	51	121
131+187_9.xls:8	0.016	79.898	61	114
131+187_9.xls:9	0.022	90.975	68	128
131+187_9.xls:10	0.008	95.159	79	116
131+187_9.xls:11	0.024	93.357	71	127
131+200_1.xls:1	0.06	60.901	34	134
131+200_1.xls:2	0.034	55.207	27	127
131+200_1.xls:3	0.03	63.451	39	124
131+200_1.xls:4	0.011	101.858	81	130
131+200_1.xls:5	0.007	92.412	74	115
131+200_1.xls:6	0.006	104.5	88	120
131+200_1.xls:7	0.004	91.089	68	112
131+200_1.xls:8	0.006	101.061	86	117
131+200_1.xls:9	0.003	80.326	57	123
131+200_1.xls:10	0.009	83.526	62	135
131+200_1.xls:11	0.026	63.974	30	138
131+200_1.xls:12	0.01	79.631	60	110
131+200_1.xls:13	0.007	96.469	81	125
131+200_1.xls:14	0.003	109.151	100	120
131+200_1.xls:15	0.022	76.345	57	116
131+200_1.xls:16	0.018	71.824	52	113
131+200_1.xls:17	0.086	68.812	26	133
131+200_1.xls:18	0.035	62.215	34	136
131+200_1.xls:19	0.022	79.484	53	139
131+200_1.xls:20	0.022	71.651	50	130
131+200_1.xls:21	0.009	87.716	73	119
131+200_1.xls:22	0.019	71.597	47	125
131+200_1.xls:23	0.03	59.368	27	131
131+200_1.xls:24	0.032	53.876	28	121
131+200_1.xls:25	0.024	69.766	48	114
131+200_1.xls:26	0.035	57.773	31	122
131+200_1.xls:27	0.043	56.385	27	139
131+200_1.xls:28	0.047	51.676	30	133
131+200_1.xls:29	0.03	69.196	41	130
131+200_1.xls:30	0.021	70.557	50	131
131+200_1.xls:31	0.031	62.831	37	133
131+200_1.xls:32	0.023	72.394	45	121
131+200_1.xls:33	0.04	56.848	31	117
131+200_1.xls:34	0.062	61.847	25	127
131+200_1.xls:35	0.019	72.816	52	110
131+200_1.xls:36	0.082	45.857	19	124
131+200_1.xls:37	0.072	48.041	22	123
131+200_1.xls:38	0.026	65.507	39	134
