Nodules	Area	Mean	Min	Max
156+200_4.xls:8	0.004	98.438	83	118
156+200_4.xls:9	0.022	79.614	68	100
156+200_4.xls:10	0.017	69.184	45	123
156+200_4.xls:11	0.006	84.81	64	117
156+200_4.xls:12	0.019	64.817	41	122
156+200_4.xls:13	0.008	81.347	59	122
156+200_4.xls:14	0.006	82.742	65	107
156+200_4.xls:15	0.016	63.822	44	106
156+200_4.xls:16	0.014	66.376	54	116
156+200_4.xls:17	0.013	72.425	52	133
156+200_4.xls:18	0.01	61.024	44	98
156+200_4.xls:19	0.016	58.688	38	125
156+200_4.xls:20	0.012	69.547	49	118
156+200_4.xls:21	0.022	69.196	46	127
156+200_4.xls:22	0.027	67.746	49	100
156+200_4.xls:23	0.012	73.742	51	112
156+200_4.xls:24	0.013	69.32	46	97
156+200_4.xls:25	0.009	88.137	77	108
156+200_4.xls:26	0.019	62.171	46	95
156+200_4.xls:27	0.03	57.755	42	101
156+200_5.xls:1	0.04	93.413	71	135
156+200_5.xls:2	0.018	102.977	83	139
156+200_5.xls:3	0.028	81.67	60	143
156+200_5.xls:4	0.02	92.923	73	150
156+200_5.xls:5	0.01	91.108	64	121
156+200_5.xls:6	0.017	91.077	66	149
156+200_5.xls:7	0.015	93.046	64	138
156+200_5.xls:8	0.008	98.829	65	138
156+200_5.xls:9	0.006	106.136	83	148
156+200_5.xls:10	0.005	109.626	99	131
156+200_5.xls:11	0.007	106.674	91	141
156+200_6.xls:1	0.024	66.422	50	133
156+200_6.xls:2	0.037	77.52	57	138
156+200_6.xls:3	0.008	90.088	70	132
156+200_6.xls:4	0.02	79.698	52	138
156+200_6.xls:5	0.007	83.845	68	120
156+200_6.xls:6	0.008	76.008	52	113
156+200_6.xls:7	0.011	76.355	57	120
156+200_6.xls:8	0.009	72.635	51	127
156+200_6.xls:9	0.016	70.067	55	119
156+200_6.xls:10	0.019	64.869	41	133
156+200_6.xls:11	0.013	75.671	52	130
156+200_6.xls:12	0.003	101.298	80	125
156+200_6.xls:13	0.009	85.618	66	143
156+200_6.xls:14	0.058	69.099	41	140
156+200_6.xls:15	0.016	78.318	57	129
156+200_6.xls:16	0.008	99.748	72	135
156+200_6.xls:17	0.008	102.537	91	123
156+200_6.xls:18	0.026	83.204	66	115
156+200_6.xls:19	0.083	71.69	49	122
156+200_6.xls:20	0.019	89.714	74	132
156+200_6.xls:21	0.004	103.76	89	124
156+200_6.xls:22	0.023	89.16	64	131
156+200_6.xls:23	0.017	89.879	59	131
156+200_7B.xls:1	0.011	66.209	46	128
156+200_7B.xls:2	0.014	71.539	53	120
156+200_7B.xls:3	0.011	72.749	53	116
156+200_7B.xls:4	0.018	75.347	54	109
156+200_7B.xls:5	0.019	71.023	51	106
156+200_7B.xls:6	0.021	73.219	56	122
156+200_7B.xls:7	0.019	83.494	63	134
156+200_7B.xls:8	0.012	78.515	58	107
156+200_7B.xls:9	0.014	82.913	63	115
156+200_7B.xls:10	0.017	68.644	49	96
156+200_7B.xls:11	0.022	77.434	59	126
156+200_7B.xls:12	0.023	74.333	58	102
156+200_7B.xls:13	0.015	85.227	65	112
156+200_7B.xls:14	0.015	82.736	57	129
156+200_7B.xls:15	0.014	82.163	63	131
156+200_8.xls:1	0.006	77.876	59	130
156+200_8.xls:2	0.006	78.573	65	100
156+200_8.xls:3	0.023	64.867	44	116
156+200_8.xls:4	0.023	71.457	55	116
156+200_8.xls:5	0.022	73.935	56	119
156+200_8.xls:6	0.024	71.294	41	113
156+200_8.xls:7	0.028	71.868	56	96
156+200_8.xls:8	0.01	67.842	48	89
156+200_8.xls:9	0.012	69.112	54	104
156+200_8.xls:10	0.003	89.039	79	104
156+200_8.xls:11	0.016	62.6	41	113
156+200_8.xls:12	0.004	78.459	68	90
156+200_8.xls:13	0.015	69.25	53	113
156+200_8.xls:14	0.005	85.416	69	112
156+200_8.xls:15	0.01	78.147	57	130
156+200_8.xls:16	0.008	79.096	57	113
156+200_8.xls:17	0.005	98.1	85	125
156+200_9.xls:1	0.004	116.412	102	132
156+200_9.xls:2	0.009	93.266	73	124
156+200_9.xls:3	0.007	78.026	58	109
156+200_9.xls:4	0.014	76.003	56	108
156+200_9.xls:5	0.012	72.939	55	100
156+200_9.xls:6	0.014	56.635	41	90
156+200_9.xls:7	0.033	50.231	27	97
156+200_9.xls:8	0.007	87.786	74	99
156+200_9.xls:9	0.008	104.896	88	138
156+200_9.xls:10	0.005	105.347	81	131
156+200_9.xls:11	0.005	103.645	86	121
156+200_9.xls:12	0.006	91.836	76	108
156+200_9.xls:13	0.006	86.055	71	104
156+200_9.xls:14	0.011	74.673	62	97
156+200_9.xls:15	0.032	59.025	31	100
156+200_9.xls:16	0.011	74.882	55	101
156+200_9.xls:17	0.009	109.212	75	137
156+200_9.xls:18	0.007	110.522	94	138
156+200_9.xls:19	0.015	85.345	59	115
156+200_9.xls:20	0.012	84.667	70	110
156+200_9.xls:21	0.014	72.075	55	105
156_10.xls:1	0.032	81.98	67	118
156_10.xls:2	0.011	82.034	57	126
156_10.xls:3	0.03	70.136	43	113
156_10.xls:4	0.036	53.486	28	115
156_10.xls:5	0.005	91.791	73	119
156_10.xls:6	0.025	66.693	48	114
156_10.xls:7	0.062	56.144	31	125
156_10.xls:8	0.013	79.142	56	107
156_10.xls:9	0.015	77.085	64	99
156_10.xls:10	0.013	73.493	53	108
156_10.xls:11	0.02	79.296	57	121
156_10.xls:12	0.011	87.733	72	118
156_10.xls:13	0.011	97.299	77	141
156_2.xls:1	0.003	73.787	59	100
156_2.xls:2	0.003	81.647	62	106
156_2.xls:3	0.007	52.812	31	90
156_2.xls:4	0.004	54.848	41	80
156_2.xls:5	0.011	60.289	41	97
156_2.xls:6	0.005	61.124	46	78
156_2.xls:7	0.01	44.9	30	71
156_2.xls:8	0.015	42.693	34	60
156_2.xls:9	0.004	82.903	70	114
156_2.xls:10	0.006	54.438	37	85
156_2.xls:11	0.007	58.073	41	91
156_2.xls:12	0.002	56.892	39	87
156_3.xls:1	0.011	108.23	82	133
156_3.xls:2	0.1	62.78	41	128
156_3.xls:3	0.01	90.938	72	117
156_3.xls:4	0.009	101.701	78	130
156_3.xls:5	0.018	92.839	64	123
156_3.xls:6	0.02	100.402	74	134
156_3.xls:7	0.011	110.68	91	134
156_3.xls:8	0.008	123.393	106	140
156_3.xls:9	0.016	82.266	59	115
156_3.xls:10	0.006	111.472	94	137
156_3.xls:11	0.009	85.212	60	122
156_3.xls:12	0.039	75.772	46	131
156_3.xls:13	0.018	70.662	36	117
156_3.xls:14	0.012	90.788	59	131
156_3.xls:15	0.011	97.419	77	132
156_3.xls:16	0.008	121.385	105	142
156_3.xls:17	0.006	97.139	81	125
156_3.xls:18	0.041	73.848	38	140
156_3.xls:19	0.011	82.852	56	129
156_3.xls:20	0.027	73.016	49	122
156_3.xls:21	0.02	82.759	55	133
156_3.xls:22	0.018	80.571	62	114
156_3.xls:23	0.026	84.205	60	117
156_3.xls:24	0.024	95.366	66	128
156_3.xls:25	0.021	69.171	48	119
156_3.xls:26	0.041	62.832	40	114
156_3.xls:27	0.009	94.843	81	128
156_3.xls:28	0.026	93.5	55	126
156_3.xls:29	0.021	78.979	56	112
156_3.xls:30	0.018	92.197	66	125
156_3.xls:31	0.007	118.747	102	136
156_3.xls:32	0.019	104.668	82	139
156_3.xls:33	0.014	74.293	49	131
156_3.xls:34	0.029	80.091	54	126
156_3.xls:35	0.05	74.646	44	147
156_3.xls:36	0.022	87.498	63	130
156_3.xls:37	0.024	85.942	64	121
156_3.xls:38	0.015	100.386	79	127
156_3.xls:39	0.013	104.962	80	131
156_3.xls:40	0.016	112.384	91	137
156_3.xls:41	0.011	104.547	90	129
156_4.xls:1	0.019	84.029	61	116
156_4.xls:2	0.035	68.367	34	123
156_4.xls:3	0.007	94.893	68	122
156_4.xls:4	0.005	98.449	80	130
156_4.xls:5	0.005	103.562	74	123
156_4.xls:6	0.005	95.386	59	128
156_4.xls:7	0.004	108.588	84	130
156_4.xls:8	0.012	85.724	68	120
156_4.xls:9	0.015	70.787	52	120
156_4.xls:10	0.009	75.325	54	119
156_4.xls:11	0.015	82.639	63	126
156_4.xls:12	0.02	73.226	45	116
156_4.xls:13	0.019	71.285	58	115
156_4.xls:14	0.021	80.022	51	132
156_4.xls:15	0.019	72.091	41	127
156_4.xls:16	0.014	78.488	38	117
156_4.xls:17	0.026	73.686	49	111
156_4.xls:18	0.024	66.182	47	115
156_4.xls:19	0.035	72.332	52	124
156_4.xls:20	0.004	97.57	81	119
156_4.xls:21	0.03	61.579	45	99
156_4.xls:22	0.028	67.769	44	110
156_5.xls:1	0.03	79.875	57	112
156_5.xls:2	0.039	73.493	55	105
156_5.xls:3	0.03	66.162	51	91
156_5.xls:4	0.024	75.309	55	116
156_5.xls:5	0.036	73.316	48	119
156_5.xls:6	0.024	65.879	41	118
156_5.xls:7	0.021	60.15	39	112
156_5.xls:8	0.024	54.789	37	103
156_5.xls:9	0.013	80.847	58	113
156_5.xls:10	0.014	86.88	64	126
156_5.xls:11	0.014	60.613	45	100
156_5.xls:12	0.035	53.72	38	95
156_5.xls:13	0.014	70.75	55	99
156_5.xls:14	0.013	63.073	46	96
156_5.xls:15	0.026	65.527	48	115
156_5.xls:16	0.024	54.355	36	99
156_5.xls:17	0.019	77.825	55	123
156_5.xls:18	0.009	95.462	81	119
156_5.xls:19	0.017	71.182	49	109
156_5.xls:20	0.006	82.61	63	118
156_5.xls:21	0.009	69.962	47	118
156_5.xls:22	0.013	64.91	24	110
156_5.xls:23	0.01	72.574	51	106
156_5.xls:24	0.009	67.585	50	110
156_5.xls:25	0.009	100.37	73	133
156_6.xls:1	0.029	96.106	81	125
156_6.xls:2	0.019	99.43	75	128
156_6.xls:3	0.019	99.065	83	120
156_6.xls:4	0.013	107.313	94	123
156_6.xls:5	0.021	92.124	74	118
156_6.xls:6	0.02	98.433	77	119
156_6.xls:7	0.046	94.115	67	129
156_6.xls:8	0.01	115.157	103	128
156_6.xls:9	0.011	96.1	83	114
156_6.xls:10	0.007	100.3	79	118
156_6.xls:11	0.026	83.174	62	126
156_6.xls:12	0.011	101.186	81	119
156_6.xls:13	0.007	109.404	98	126
156_6.xls:14	0.02	82.717	56	113
156_6.xls:15	0.034	79.495	53	120
156_6.xls:16	0.025	80.513	54	119
156_6.xls:17	0.022	72.414	58	114
156_6.xls:18	0.025	74.29	56	119
156_6.xls:19	0.021	74.091	58	115
156_6.xls:20	0.012	93.052	80	114
156_6.xls:21	0.012	90.604	70	116
156_6.xls:22	0.008	87.091	64	108
156_6.xls:23	0.012	81.208	61	109
156_6.xls:24	0.008	103.624	90	124
156_6.xls:25	0.025	72.083	50	121
156_6.xls:26	0.03	80.919	60	123
156_6.xls:27	0.041	78.054	55	122
156_6.xls:28	0.009	97.498	81	117
156_6.xls:29	0.019	74.197	53	103
156_6.xls:30	0.009	102.115	90	118
156_6.xls:31	0.021	80.189	59	124
156_6.xls:32	0.006	105.529	92	127
156_6.xls:33	0.017	77.684	54	129
156_6.xls:34	0.018	74.323	54	115
156_6.xls:35	0.032	72.89	49	131
156_6.xls:36	0.015	86.949	62	128
156_6.xls:37	0.007	86.021	66	117
156_6.xls:38	0.013	77.772	57	112
156_6.xls:39	0.015	61.598	40	107
156_6.xls:40	0.038	72.503	47	124
156_6.xls:41	0.01	71.655	57	106
156_6.xls:42	0.025	64.342	43	124
156_6.xls:43	0.026	70.918	48	120
156_6.xls:44	0.019	67.303	46	116
156_6.xls:45	0.017	69.036	48	124
156_6.xls:46	0.019	61.333	39	117
156_6.xls:47	0.008	97.366	81	118
156_6.xls:48	0.009	73.416	52	110
156_6.xls:49	0.013	82.403	66	125
156_6.xls:50	0.011	91.387	67	119
156_6.xls:51	0.008	91.4	79	127
156_6.xls:52	0.011	69.059	46	119
156_6.xls:53	0.014	79.972	57	123
156_6.xls:54	0.005	102.456	84	129
156_6.xls:55	0.011	73.217	46	126
156_6.xls:56	0.005	78.604	57	121
156_7.xls:1	0.048	76.007	51	125
156_7.xls:2	0.022	106.214	91	132
156_7.xls:3	0.018	96.587	82	124
156_7.xls:4	0.029	94.637	81	114
156_7.xls:5	0.005	116.92	104	128
156_7.xls:6	0.012	92.233	65	126
156_7.xls:7	0.016	84.078	53	117
156_7.xls:8	0.01	81.263	62	118
156_7.xls:9	0.007	108.633	95	129
156_7.xls:10	0.011	102.198	79	136
156_7.xls:11	0.008	98.091	73	123
156_8.xls:1	0.035	85.415	67	111
156_8.xls:2	0.02	98.179	82	119
156_8.xls:3	0.034	88.083	68	117
156_8.xls:4	0.023	103.701	82	124
156_8.xls:5	0.029	93.213	73	130
156_8.xls:6	0.031	95.797	80	121
156_8.xls:7	0.043	89.844	70	124
156_8.xls:8	0.015	127.697	114	142
156_8.xls:9	0.021	80.182	67	100
156_8.xls:10	0.016	87.527	77	111
156_8.xls:11	0.01	115.372	107	124
156_8.xls:12	0.028	99.3	80	137
156_8.xls:13	0.037	82.741	71	113
156_8.xls:14	0.039	82.631	59	118
156_8.xls:15	0.051	73.766	47	122
156_8.xls:16	0.057	80.121	57	120
156_8.xls:17	0.035	71.708	49	128
156_8.xls:18	0.029	90.831	71	133
156_8.xls:19	0.021	96.208	72	141
156_8.xls:20	0.013	105.517	82	136
156_8.xls:21	0.012	110.077	89	138
156_8.xls:22	0.043	77.911	53	117
156_8.xls:23	0.019	85.618	65	122
156_8.xls:24	0.016	95.75	78	126
156_8.xls:25	0.018	95.059	77	134
156_8.xls:26	0.033	92.88	63	144
156_8.xls:27	0.024	95.632	58	145
156_8.xls:28	0.02	90.896	71	135
156_8.xls:29	0.019	85.1	60	124
156_8.xls:30	0.023	84.273	55	136
156_8.xls:31	0.024	76.06	55	131
156_8.xls:32	0.019	86.529	59	135
156_8.xls:33	0.013	90.887	61	136
156_8.xls:34	0.033	84.76	55	143
156_8.xls:35	0.033	75.94	45	142
156_8.xls:36	0.026	76.137	36	115
156_8.xls:37	0.01	88.472	57	147
156_8.xls:38	0.024	76.916	48	137
156_8.xls:39	0.018	79.301	48	144
156_8.xls:40	0.022	90.398	61	140
156_8.xls:41	0.043	77.065	54	124
156_9.xls:1	0.015	101.201	81	138
156_9.xls:2	0.015	90.265	62	125
156_9.xls:3	0.028	92.451	73	124
156_9.xls:4	0.021	93.055	73	122
156_9.xls:5	0.003	124.433	112	140
156_9.xls:6	0.008	114.406	99	137
156_9.xls:7	0.024	92.824	77	131
156_9.xls:8	0.022	94.274	75	129
156_9.xls:9	0.033	88.703	60	134
156_9.xls:10	0.009	109.408	98	136
156_9.xls:11	0.028	103.72	75	142
156_9.xls:12	0.006	110.567	88	130
156_9.xls:13	0.015	103.328	76	137
156_9.xls:14	0.016	99.837	63	144
156_9.xls:15	0.024	91.01	67	136
156_9.xls:16	0.013	89.796	68	130
156_9.xls:17	0.006	105.232	82	133
156_9.xls:18	0.025	78.766	53	133
156_9.xls:19	0.02	79.451	60	120
156_9.xls:20	0.012	103.454	89	128
156_9.xls:21	0.016	101.163	86	133
156_9.xls:22	0.019	81.093	64	120
156_9.xls:23	0.019	85.1	61	121
156_9.xls:24	0.064	76.23	50	131
156_9.xls:25	0.021	79.638	60	122
184+200_1.xls:1	0.024	79.291	57	126
184+200_1.xls:2	0.028	84.856	52	143
184+200_10.xls:1	0.022	67.574	40	104
184+200_10.xls:2	0.015	76.727	60	105
184+200_10.xls:3	0.003	82.984	62	101
184+200_10.xls:4	0.015	54.22	29	105
184+200_10.xls:5	0.018	64.836	43	100
184+200_10.xls:6	0.011	60.579	34	112
184+200_10.xls:7	0.003	106.75	92	127
184+200_10.xls:8	0.02	83.217	57	136
184+200_10.xls:9	0.007	76.757	56	107
184+200_10.xls:10	0.006	85.093	72	102
184+200_10.xls:11	0.026	63.883	42	127
184+200_10.xls:12	0.007	71.821	45	130
184+200_10.xls:13	0.024	62.379	31	124
184+200_10.xls:14	0.012	86.907	53	124
184+200_10.xls:15	0.004	108.938	94	144
184+200_10.xls:16	0.007	109.241	93	133
184+200_10.xls:17	0.007	73.706	38	103
184+200_10.xls:18	0.011	81.196	59	114
184+200_10.xls:19	0.007	86	71	123
184+200_10.xls:20	0.008	87.707	70	118
184+200_10.xls:21	0.007	96.164	74	131
184+200_10.xls:22	0.012	87.022	52	127
184+200_10.xls:23	0.02	108.093	83	147
184+200_10.xls:24	0.012	106.342	94	138
184+200_10.xls:25	0.007	61.421	41	109
184+200_10.xls:26	0.019	61.243	33	121
184+200_10.xls:27	0.017	64.793	39	130
184+200_10.xls:28	0.013	65.516	45	110
184+200_10.xls:29	0.006	88.723	60	141
184+200_10.xls:30	0.015	63.513	35	140
184+200_10.xls:31	0.013	103.444	85	143
184+200_10.xls:32	0.017	94.484	68	140
184+200_10.xls:33	0.009	90.808	66	128
184+200_10.xls:34	0.014	75.661	52	119
184+200_10.xls:35	0.006	88.17	70	120
184+200_10.xls:36	0.004	107.838	91	128
184+200_10.xls:37	0.007	99.654	79	131
184+200_10.xls:38	0.002	110.357	94	126
184+200_10.xls:39	0.012	103.031	85	132
184+200_10.xls:40	0.004	114.602	99	138
184+200_10.xls:41	0.005	99.875	87	129
184+200_10.xls:42	0.018	78.706	61	128
184+200_10.xls:43	0.011	86.889	54	126
184+200_10.xls:44	0.013	81.776	60	107
184+200_10.xls:45	0.02	66.085	42	112
184+200_10.xls:46	0.058	71.484	42	133
184+200_10.xls:47	0.009	106.254	91	137
184+200_10.xls:48	0.038	92.39	65	150
184+200_10.xls:49	0.039	58.013	36	116
184+200_6.xls:1	0.015	89.612	64	130
184+200_6.xls:2	0.019	81.92	58	139
184+200_6.xls:3	0.011	85.403	61	136
184+200_6.xls:4	0.016	77.054	51	131
184+200_6.xls:5	0.017	72.438	55	122
184+200_6.xls:6	0.019	81.986	61	133
184+200_6.xls:7	0.017	84.744	60	128
184+200_6.xls:8	0.017	80.744	53	135
184+200_6.xls:9	0.011	90.009	67	137
184+200_6.xls:10	0.009	90.075	62	122
184+200_7.xls:1	0.007	96.765	77	125
184+200_7.xls:2	0.004	90.312	73	111
184+200_7.xls:3	0.009	90.826	72	124
184+200_7.xls:4	0.009	94.065	75	129
184+200_8.xls:1	0.024	62.141	45	98
184+200_8.xls:2	0.009	98.212	80	117
184+200_8.xls:3	0.008	92.081	66	116
184+200_8.xls:4	0.019	63.629	38	114
184+200_8.xls:5	0.028	57.585	33	111
184+200_8.xls:6	0.025	58.855	37	118
184+200_8.xls:7	0.013	68.543	44	111
184+200_8.xls:8	0.032	88.65	59	120
184+200_8.xls:9	0.021	77.615	57	114
184+200_8.xls:10	0.018	77.455	59	115
184+200_8.xls:11	0.018	64.473	43	115
184+200_8.xls:12	0.065	53.976	29	112
184+200_8.xls:13	0.02	66.967	47	113
184+200_8.xls:14	0.018	81.219	64	112
184+200_8.xls:15	0.036	61.421	37	122
184+200_8.xls:16	0.015	92.805	75	118
184+200_8.xls:17	0.031	74.181	49	123
184+200_8.xls:18	0.01	81.188	57	110
184+200_8.xls:19	0.014	68.733	48	102
184+200_8.xls:20	0.012	84.37	66	111
184+200_8.xls:21	0.023	64.895	46	99
184+200_8.xls:22	0.009	87.568	66	118
184+200_8.xls:23	0.031	52.615	29	101
184+200_8.xls:24	0.01	95.175	75	121
184+200_8.xls:25	0.005	104.452	96	121
184+200_8.xls:26	0.019	80.997	64	120
184+200_8.xls:27	0.019	77.787	55	112
184+200_8.xls:28	0.035	55.427	35	119
184+200_8.xls:29	0.019	79.906	55	117
184+200_8.xls:30	0.009	72.731	47	109
184+200_8.xls:31	0.008	96.934	78	124
184+200_8.xls:32	0.009	110.095	94	132
184+200_8.xls:33	0.015	90.957	74	108
184+200_8.xls:34	0.014	84.554	71	117
184+200_8.xls:35	0.024	64.092	43	110
184+200_8.xls:36	0.017	69.955	50	99
184+200_8.xls:37	0.02	76.824	57	100
184+200_8.xls:38	0.031	54.215	37	99
184+200_8.xls:39	0.056	57.138	30	113
184+200_8.xls:40	0.032	63.426	33	113
184+200_8.xls:41	0.036	68.976	36	109
184+200_8.xls:42	0.053	61.59	39	117
184+200_8.xls:43	0.035	61.102	35	107
184+200_8.xls:44	0.023	80.721	53	115
184+200_8.xls:45	0.046	62.618	40	109
184+200_8.xls:46	0.03	65.388	46	101
184+200_8.xls:47	0.027	67.284	44	107
184+200_8.xls:48	0.025	77.845	54	123
184+200_8.xls:49	0.015	92	64	125
184+200_8.xls:50	0.036	77.58	62	109
184+200_8.xls:51	0.029	73.49	46	118
184+200_8.xls:52	0.029	76.488	50	114
184+200_8.xls:53	0.012	86.771	60	118
184+200_8.xls:54	0.023	69.566	47	117
184+200_8.xls:55	0.022	84.294	53	127
184+200_8.xls:56	0.017	90.835	63	129
184+200_8.xls:57	0.014	101.863	84	127
184+200_8.xls:58	0.02	92.626	76	120
184+200_8.xls:59	0.021	85.061	57	119
184+200_9.xls:1	0.021	65	42	110
184+200_9.xls:2	0.03	63.37	32	101
184+200_9.xls:3	0.01	83.824	66	110
184+200_9.xls:4	0.027	57.12	41	102
184+200_9.xls:5	0.014	83.075	65	110
184+200_9.xls:6	0.05	54.403	30	110
184+200_9.xls:7	0.032	82.064	59	122
184+200_9.xls:8	0.012	95.271	79	120
184+200_9.xls:9	0.008	91.357	66	121
184+200_9.xls:10	0.02	79.934	57	120
184+200_9.xls:11	0.046	60.18	45	116
184+200_9.xls:12	0.039	59.016	38	117
184+200_9.xls:13	0.025	63.624	38	97
184+200_9.xls:14	0.03	74.795	49	113
184+200_9.xls:15	0.024	82.732	55	121
184+200_9.xls:16	0.019	89.376	73	117
184+200_9.xls:17	0.011	90.259	64	126
184+200_9.xls:18	0.068	64.838	42	119
184+200_9.xls:19	0.023	92.061	56	125
184+200_9.xls:20	0.028	80.073	62	118
184+200_9.xls:21	0.013	87.948	70	114
184+200_9.xls:22	0.015	80.412	61	111
184+200_9.xls:23	0.012	95.211	81	122
184+200_9.xls:24	0.02	81.042	62	116
184+200_9.xls:25	0.016	76.78	62	96
184+200_9.xls:26	0.016	71.967	55	118
184+200_9.xls:27	0.048	52.905	19	98
184+200_9.xls:28	0.054	60.385	35	128
184+200_9.xls:29	0.023	77.279	61	106
184+200_9.xls:30	0.019	83.29	69	115
184+200_9.xls:31	0.016	83.491	67	118
184+200_9.xls:32	0.042	72.484	49	121
184+200_9.xls:33	0.028	61.844	37	102
184+200_9.xls:34	0.027	75.872	52	131
184+200_9.xls:35	0.009	87.672	76	118
184+200_9.xls:36	0.02	82.929	63	124
184+200_9.xls:37	0.019	84.302	68	120
184+200_9.xls:38	0.005	101.693	86	119
184+200_9.xls:39	0.07	60.262	32	107
184+200_9.xls:40	0.033	63.438	33	107
184+200_9.xls:41	0.018	66.656	36	112
184+200_9.xls:42	0.021	54.977	24	119
184+200_9.xls:43	0.014	69.821	43	122
184+200_9.xls:44	0.042	59.743	34	117
184+200_9.xls:45	0.025	59.1	37	113
184+200_9.xls:46	0.032	52.053	29	111
184+200_9.xls:47	0.039	64.497	43	116
184+200_9.xls:48	0.012	99.01	85	117
184+200_9.xls:49	0.05	57.724	30	119
184+200_9.xls:50	0.044	66.449	32	112
184_1.xls:1	0.055	82.542	58	129
184_1.xls:2	0.027	80.835	55	127
184_1.xls:3	0.028	93.533	67	127
184_1.xls:4	0.01	100.181	82	119
184_1.xls:5	0.027	88.549	57	124
184_1.xls:6	0.018	89.968	64	118
184_1.xls:7	0.013	99.118	70	122
184_1.xls:8	0.033	72.792	44	122
184_1.xls:9	0.056	70.545	42	141
184_1.xls:10	0.03	67.748	37	131
184_1.xls:11	0.017	88.993	62	126
184_1.xls:12	0.055	72.147	43	131
184_1.xls:13	0.075	75.39	48	129
184_1.xls:14	0.079	60.448	33	107
184_1.xls:15	0.023	93.44	72	130
184_1.xls:16	0.028	85.307	61	115
184_1.xls:17	0.021	76.642	57	96
184_1.xls:18	0.012	104.542	85	137
184_1.xls:19	0.018	76.744	47	129
184_1.xls:20	0.018	77.369	48	116
184_1.xls:21	0.012	98.267	71	128
184_1.xls:22	0.013	90.121	61	137
184_1.xls:23	0.027	79.142	46	125
184_1.xls:24	0.044	73.551	42	135
184_1.xls:25	0.027	76.262	36	135
184_1.xls:26	0.009	99.964	59	140
184_1.xls:27	0.017	104.98	76	139
184_1.xls:28	0.007	109.987	88	132
184_1.xls:29	0.033	75.814	43	134
184_1.xls:30	0.006	93.581	74	119
184_1.xls:31	0.022	90.585	67	122
184_1.xls:32	0.019	81.967	62	134
184_1.xls:33	0.009	102.939	68	140
184_1.xls:34	0.003	126.017	111	144
184_1.xls:35	0.018	99.564	74	140
184_1.xls:36	0.014	112.599	83	144
184_1.xls:37	0.009	99.416	81	130
184_1.xls:38	0.032	78.004	29	141
184_1.xls:39	0.018	96.196	60	144
184_1.xls:40	0.054	70.41	35	139
184_1.xls:41	0.02	86.493	56	135
184_1.xls:42	0.017	96.049	70	142
184_1.xls:43	0.014	89.372	49	134
184_1.xls:44	0.027	80.606	45	144
184_1.xls:45	0.014	85.77	67	125
184_1.xls:46	0.023	78.716	51	134
184_1.xls:47	0.027	94.438	52	143
184_1.xls:48	0.004	126.625	107	142
184_1.xls:49	0.011	93.225	59	134
184_10.xls:1	0.051	64.724	43	95
184_10.xls:2	0.04	94.579	72	133
184_10.xls:3	0.051	63.585	21	113
184_10.xls:4	0.042	60.864	24	111
184_10.xls:5	0.013	105.171	81	132
184_10.xls:6	0.018	100.405	68	130
184_10.xls:7	0.032	91.501	58	130
184_10.xls:8	0.016	100.678	76	124
184_10.xls:9	0.011	112.734	95	133
184_10.xls:10	0.024	109.308	84	139
184_10.xls:11	0.017	83.681	54	115
184_10.xls:12	0.015	98.619	77	126
184_10.xls:13	0.012	115.425	101	130
184_10.xls:14	0.018	109.436	84	130
184_10.xls:15	0.021	96.653	63	132
184_10.xls:16	0.011	113.449	96	133
184_10.xls:17	0.02	87.599	62	117
184_10.xls:18	0.008	132.068	123	142
184_10.xls:19	0.017	93.31	60	127
184_10.xls:20	0.017	105.516	77	128
184_10.xls:21	0.014	99.427	75	123
184_10.xls:22	0.048	64.837	30	127
184_2.xls:1	0.009	89.116	55	118
184_2.xls:2	0.006	98.245	69	124
184_2.xls:3	0.01	76.922	49	111
184_2.xls:4	0.027	58.408	23	106
184_2.xls:5	0.006	90.74	50	124
184_2.xls:6	0.016	66.9	28	125
184_2.xls:7	0.047	61.661	27	128
184_2.xls:8	0.034	65.658	34	131
184_2.xls:9	0.017	56.785	17	127
184_2.xls:10	0.007	77.434	37	116
184_2.xls:11	0.065	47.941	18	127
184_2.xls:12	0.068	42.317	14	123
184_2.xls:13	0.023	57.047	32	101
184_2.xls:14	0.012	90.81	52	131
184_2.xls:15	0.052	59.405	23	130
184_2.xls:16	0.014	71.202	39	131
184_2.xls:17	0.016	62.789	28	123
184_2.xls:18	0.017	73.445	40	119
184_2.xls:19	0.017	64.131	36	111
184_2.xls:20	0.013	62.495	32	125
184_2.xls:21	0.027	56.885	31	119
184_2.xls:22	0.003	98.686	81	120
184_2.xls:23	0.008	89.226	62	119
184_2.xls:24	0.005	102.213	78	124
184_2.xls:25	0.015	73.23	40	128
184_2.xls:26	0.01	75.192	38	129
184_2.xls:27	0.026	46.091	19	125
184_2.xls:28	0.008	61.507	34	116
184_2.xls:29	0.016	64.184	31	127
184_2.xls:30	0.013	65.122	42	118
184_2.xls:31	0.009	70.205	41	123
184_2.xls:32	0.011	77.357	39	127
184_2.xls:33	0.015	53.964	29	127
184_2.xls:34	0.008	65.831	37	126
184_2.xls:35	0.038	48.96	18	127
184_2.xls:36	0.024	65.726	26	137
184_3.xls:1	0.021	99.689	81	130
184_3.xls:2	0.018	81.281	60	113
184_3.xls:3	0.02	99.96	77	133
184_3.xls:4	0.031	88.676	49	144
